Archivo,Proveedor,Fecha,NºFactura,Reconciliacion,Excel
2044 2T24 0511 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2044_2T24_0511_JIMELUZ.xlsx
2045 2T24 0428 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2045_2T24_0428_JIMELUZ.xlsx
2046 2T24 0428 JIMELUZ 2.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2046_2T24_0428_JIMELUZ_2.xlsx
2047 2T24 0509 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2047_2T24_0509_JIMELUZ.xlsx
2048 2t24 0518 AURELLIO GONZALEZ TF.pdf,GONZALEZ,18-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2048_2t24_0518_AURELLIO_GONZALEZ_TF.xlsx
2049 2T24 0511 JIMELUZ 2.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2049_2T24_0511_JIMELUZ_2.xlsx
2050 2T24 0511 JIMELUZ 3.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2050_2T24_0511_JIMELUZ_3.xlsx
2051 2T24 0416 QUESOS FELIX TF.pdf,FELIX,16-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2051_2T24_0416_QUESOS_FELIX_TF.xlsx
2052 2T24 0521 SABORES DE PATERNA TF.pdf,PATERNA,21-05-21,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2052_2T24_0521_SABORES_DE_PATERNA_TF.xlsx
2053 2T24 0522 LA ROSQUILLERIA TF.pdf,ROSQUILLERIA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2053_2T24_0522_LA_ROSQUILLERIA_TF.xlsx
2054 2T24 0416 AMAZON TJ.pdf,AMAZON,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2054_2T24_0416_AMAZON_TJ.xlsx
2056 2T24 0521 LA PLATAFORMA EF.pdf,PLATAFORMA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2056_2T24_0521_LA_PLATAFORMA_EF.xlsx
2057 2T24 0403 JIMELUZ .pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2057_2T24_0403_JIMELUZ_.xlsx
2058 2T24 0520 PEDRO MERELO TF.pdf,MERELO,20-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2058_2T24_0520_PEDRO_MERELO_TF.xlsx
2059 2T24 0527 LIDL TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2059_2T24_0527_LIDL_TJ.xlsx
2060 2T24 0527 LIDL EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2060_2T24_0527_LIDL_EF.xlsx
2061 2T24 0404 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2061_2T24_0404_BM_EF.xlsx
2062 2T24 0405 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2062_2T24_0405_BM_EF.xlsx
2063 2T24 0407 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2063_2T24_0407_BM_EF.xlsx
2064 2T24 0410 BM TJ.pdf,,01-01-45,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2064_2T24_0410_BM_TJ.xlsx
2065 2T24 0531 QUESERIA ZUCCA TF.pdf,ZUCCA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2065_2T24_0531_QUESERIA_ZUCCA_TF.xlsx
2066 2T24 0412 BM 2 TJ.pdf,,24-03-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2066_2T24_0412_BM_2_TJ.xlsx
2067 2T24 0412 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2067_2T24_0412_BM_TJ.xlsx
2068 2T24 0413 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2068_2T24_0413_BM_TJ.xlsx
2069 2T24 0414 BM TJ.pdf,,01-02-59,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2069_2T24_0414_BM_TJ.xlsx
2070 2T24 0417 BM EF.pdf,,14-04-28,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2070_2T24_0417_BM_EF.xlsx
2071 2T24 0418 BM TJ.pdf,,25-07-42,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2071_2T24_0418_BM_TJ.xlsx
2072 2T24 0424 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2072_2T24_0424_BM_TJ.xlsx
2073 2T24 0425 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2073_2T24_0425_BM_TJ.xlsx
2074 2T24 0428 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2074_2T24_0428_BM_TJ.xlsx
2075 2T24 0510 DISTRIBUCIONES LAVAPIES TF.pdf,LAVAPIES,10-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2075_2T24_0510_DISTRIBUCIONES_LAVAPIES_TF.xlsx
2076 2T24 0517 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2076_2T24_0517_BM_EF.xlsx
2077 2T24 0518 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2077_2T24_0518_BM_EF.xlsx
2078 2T24 0519 BM EF.pdf,,01-04-89,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2078_2T24_0519_BM_EF.xlsx
2079 2T24 0522 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2079_2T24_0522_BM_EF.xlsx
